% 1. Title: Iris Plants Database
% 
% 2. Sources:
%      (a) Creator: R.A. Fisher
%      (b) Donor: Michael Marshall (MARSHALL%PLU@io.arc.nasa.gov)
%      (c) Date: July, 1988
% 
% 3. Past Usage:
%    - Publications: too many to mention!!!  Here are a few.
%    1. Fisher,R.A. "The use of multiple measurements in taxonomic problems"
%       Annual Eugenics, 7, Part II, 179-188 (1936); also in "Contributions
%       to Mathematical Statistics" (John Wiley, NY, 1950).
%    2. Duda,R.O., & Hart,P.E. (1973) Pattern Classification and Scene Analysis.
%       (Q327.D83) John Wiley & Sons.  ISBN 0-471-22361-1.  See page 218.
%    3. Dasarathy, B.V. (1980) "Nosing Around the Neighborhood: A New System
%       Structure and Classification Rule for Recognition in Partially Exposed
%       Environments".  IEEE Transactions on Pattern Analysis and Machine
%       Intelligence, Vol. PAMI-2, No. 1, 67-71.
%       -- Results:
%          -- very low misclassification rates (0% for the setosa class)
%    4. Gates, G.W. (1972) "The Reduced Nearest Neighbor Rule".  IEEE 
%       Transactions on Information Theory, May 1972, 431-433.
%       -- Results:
%          -- very low misclassification rates again
%    5. See also: 1988 MLC Proceedings, 54-64.  Cheeseman et al's AUTOCLASS II
%       conceptual clustering system finds 3 classes in the data.
% 
% 4. Relevant Information:
%    --- This is perhaps the best known database to be found in the pattern
%        recognition literature.  Fisher's paper is a classic in the field
%        and is referenced frequently to this day.  (See Duda & Hart, for
%        example.)  The data set contains 3 classes of 50 instances each,
%        where each class refers to a type of iris plant.  One class is
%        linearly separable from the other 2; the latter are NOT linearly
%        separable from each other.
%    --- Predicted attribute: class of iris plant.
%    --- This is an exceedingly simple domain.
% 
% 5. Number of Instances: 150 (50 in each of three classes)
% 
% 6. Number of Attributes: 4 numeric, predictive attributes and the class
% 
% 7. Attribute Information:
%    1. sepal length in cm
%    2. sepal width in cm
%    3. petal length in cm
%    4. petal width in cm
%    5. class: 
%       -- Iris Setosa
%       -- Iris Versicolour
%       -- Iris Virginica
% 
% 8. Missing Attribute Values: None
% 
% Summary Statistics:
%  	           Min  Max   Mean    SD   Class Correlation
%    sepal length: 4.3  7.9   5.84  0.83    0.7826   
%     sepal width: 2.0  4.4   3.05  0.43   -0.4194
%    petal length: 1.0  6.9   3.76  1.76    0.9490  (high!)
%     petal width: 0.1  2.5   1.20  0.76    0.9565  (high!)
% 
% 9. Class Distribution: 33.3% for each of 3 classes.

@RELATION iris

@ATTRIBUTE sepallength	REAL
@ATTRIBUTE sepalwidth 	REAL
@ATTRIBUTE petallength 	REAL
@ATTRIBUTE petalwidth	REAL
@ATTRIBUTE class 	{Iris-setosa,Iris-versic,Iris-virgin}

@DATA
3.799339, -1.050559, 0.110518, -0.459937,Iris-setosa
3.729102, -1.069548, 0.245484, -0.454291,Iris-setosa
3.504824, -0.973343, 0.117005, -0.424598,Iris-setosa
3.421938, -1.012020, 0.334310, -0.419145,Iris-setosa
3.683868, -1.014620, 0.092856, -0.445660,Iris-setosa
3.943043, -1.133946, 0.270403, -0.480580,Iris-setosa
3.348725, -0.945478, 0.167033, -0.406839,Iris-setosa
3.723118, -1.064909, 0.234667, -0.453345,Iris-setosa
3.289492, -0.967739, 0.303139, -0.402542,Iris-setosa
3.710483, -1.084166, 0.315453, -0.453507,Iris-setosa
4.024299, -1.117798, 0.135023, -0.487545,Iris-setosa
3.531425, -1.043320, 0.341154, -0.432476,Iris-setosa
3.647593, -1.049862, 0.253289, -0.444636,Iris-setosa
3.205021, -0.862091, 0.007148, -0.386196,Iris-setosa
4.345476, -1.097707, -0.244089, -0.518326,Iris-setosa
4.119125, -1.089261, -0.057542, -0.494951,Iris-setosa
3.969705, -1.036638, -0.102222, -0.476022,Iris-setosa
3.788335, -1.047287, 0.109378, -0.458588,Iris-setosa
4.254546, -1.219073, 0.275873, -0.518215,Iris-setosa
3.712796, -1.032671, 0.129554, -0.449910,Iris-setosa
4.079842, -1.205395, 0.394317, -0.499641,Iris-setosa
3.724749, -1.042380, 0.152741, -0.451833,Iris-setosa
3.340476, -0.825480, -0.253106, -0.397085,Iris-setosa
3.792246, -1.139685, 0.435222, -0.465853,Iris-setosa
3.511429, -1.116302, 0.620623, -0.435894,Iris-setosa
3.808284, -1.141160, 0.425131, -0.467575,Iris-setosa
3.694444, -1.082691, 0.325544, -0.451786,Iris-setosa
3.885188, -1.097844, 0.197009, -0.472081,Iris-setosa
3.914811, -1.086498, 0.128179, -0.474214,Iris-setosa
3.484828, -1.046324, 0.396474, -0.428016,Iris-setosa
3.600299, -1.082263, 0.414135, -0.442293,Iris-setosa
4.071164, -1.150196, 0.205726, -0.494664,Iris-setosa
3.758444, -1.023232, 0.052186, -0.453795,Iris-setosa
4.008688, -1.051525, -0.086434, -0.481047,Iris-setosa
3.710483, -1.084166, 0.315453, -0.453507,Iris-setosa
3.789031, -1.017890, 0.003852, -0.456471,Iris-setosa
4.176059, -1.118064, -0.009301, -0.502815,Iris-setosa
3.710483, -1.084166, 0.315453, -0.453507,Iris-setosa
3.273199, -0.930431, 0.185656, -0.398130,Iris-setosa
3.815632, -1.087867, 0.228001, -0.464349,Iris-setosa
3.702487, -1.000002, 0.022888, -0.446444,Iris-setosa
3.515414, -1.040982, 0.348140, -0.430693,Iris-setosa
3.227284, -0.904469, 0.137002, -0.391585,Iris-setosa
