% 1. Title: Iris Plants Database
% 
% 2. Sources:
%      (a) Creator: R.A. Fisher
%      (b) Donor: Michael Marshall (MARSHALL%PLU@io.arc.nasa.gov)
%      (c) Date: July, 1988
% 
% 3. Past Usage:
%    - Publications: too many to mention!!!  Here are a few.
%    1. Fisher,R.A. "The use of multiple measurements in taxonomic problems"
%       Annual Eugenics, 7, Part II, 179-188 (1936); also in "Contributions
%       to Mathematical Statistics" (John Wiley, NY, 1950).
%    2. Duda,R.O., & Hart,P.E. (1973) Pattern Classification and Scene Analysis.
%       (Q327.D83) John Wiley & Sons.  ISBN 0-471-22361-1.  See page 218.
%    3. Dasarathy, B.V. (1980) "Nosing Around the Neighborhood: A New System
%       Structure and Classification Rule for Recognition in Partially Exposed
%       Environments".  IEEE Transactions on Pattern Analysis and Machine
%       Intelligence, Vol. PAMI-2, No. 1, 67-71.
%       -- Results:
%          -- very low misclassification rates (0% for the setosa class)
%    4. Gates, G.W. (1972) "The Reduced Nearest Neighbor Rule".  IEEE 
%       Transactions on Information Theory, May 1972, 431-433.
%       -- Results:
%          -- very low misclassification rates again
%    5. See also: 1988 MLC Proceedings, 54-64.  Cheeseman et al's AUTOCLASS II
%       conceptual clustering system finds 3 classes in the data.
% 
% 4. Relevant Information:
%    --- This is perhaps the best known database to be found in the pattern
%        recognition literature.  Fisher's paper is a classic in the field
%        and is referenced frequently to this day.  (See Duda & Hart, for
%        example.)  The data set contains 3 classes of 50 instances each,
%        where each class refers to a type of iris plant.  One class is
%        linearly separable from the other 2; the latter are NOT linearly
%        separable from each other.
%    --- Predicted attribute: class of iris plant.
%    --- This is an exceedingly simple domain.
% 
% 5. Number of Instances: 150 (50 in each of three classes)
% 
% 6. Number of Attributes: 4 numeric, predictive attributes and the class
% 
% 7. Attribute Information:
%    1. sepal length in cm
%    2. sepal width in cm
%    3. petal length in cm
%    4. petal width in cm
%    5. class: 
%       -- Iris Setosa
%       -- Iris Versicolour
%       -- Iris Virginica
% 
% 8. Missing Attribute Values: None
% 
% Summary Statistics:
%  	           Min  Max   Mean    SD   Class Correlation
%    sepal length: 4.3  7.9   5.84  0.83    0.7826   
%     sepal width: 2.0  4.4   3.05  0.43   -0.4194
%    petal length: 1.0  6.9   3.76  1.76    0.9490  (high!)
%     petal width: 0.1  2.5   1.20  0.76    0.9565  (high!)
% 
% 9. Class Distribution: 33.3% for each of 3 classes.

@RELATION iris

@ATTRIBUTE sepallength	REAL
@ATTRIBUTE sepalwidth 	REAL
@ATTRIBUTE petallength 	REAL
@ATTRIBUTE petalwidth	REAL

@DATA
2.020530, 3.883754, 2.733934, -0.946360
1.930106, 3.388969, 2.630717, -0.989193
1.860046, 3.558094, 2.517811, -0.875755
1.899391, 3.466600, 2.581011, -0.938536
2.003609, 3.971395, 2.703874, -0.906543
2.191882, 4.344359, 2.957963, -0.991786
1.865102, 3.765110, 2.512891, -0.825761
2.023659, 3.786104, 2.744347, -0.975337
1.797000, 3.252830, 2.443477, -0.895079
1.996727, 3.473354, 2.723464, -1.031986
2.147927, 4.105608, 2.907683, -1.012139
2.009866, 3.776095, 2.724700, -0.964497
1.927423, 3.363390, 2.628304, -0.993356
1.693750, 3.304505, 2.288862, -0.780336
2.163545, 4.406641, 2.912660, -0.947529
2.234878, 4.834914, 2.991823, -0.903667
2.047016, 4.319732, 2.746816, -0.856571
1.998208, 3.901249, 2.700130, -0.919875
2.281135, 4.255389, 3.094259, -1.102731
2.058674, 4.194578, 2.771387, -0.901193
2.196111, 3.830749, 2.994786, -1.132232
2.028269, 4.116349, 2.731426, -0.892203
1.758724, 3.914436, 2.347862, -0.682041
2.046048, 3.763262, 2.778569, -1.003307
2.118516, 3.794565, 2.883060, -1.065908
2.027544, 3.409365, 2.772506, -1.079122
2.015232, 3.827251, 2.729526, -0.956171
2.081751, 3.897994, 2.822937, -1.002485
2.037452, 3.796113, 2.763994, -0.986177
1.968696, 3.576564, 2.676170, -0.977166
1.985617, 3.488923, 2.706230, -1.016983
2.079034, 3.853426, 2.821606, -1.011655
2.152571, 4.454842, 2.893681, -0.923999
2.177130, 4.586153, 2.921897, -0.913180
1.996727, 3.473354, 2.723464, -1.031986
1.898844, 3.576186, 2.573674, -0.908916
2.084332, 3.909929, 2.826013, -1.001843
1.996727, 3.473354, 2.723464, -1.031986
1.768866, 3.342397, 2.396848, -0.843780
2.048664, 3.794187, 2.780564, -0.997659
1.936987, 3.887009, 2.611127, -0.863749
1.714968, 2.697908, 2.356163, -0.962084
1.785032, 3.533845, 2.409161, -0.808789
1.978671, 3.957966, 2.668075, -0.885706
2.181218, 4.236700, 2.948729, -1.009923
1.882780, 3.398381, 2.560697, -0.940386
2.117212, 4.183239, 2.857977, -0.961482
1.871258, 3.556167, 2.534381, -0.887237
2.122922, 4.097525, 2.871467, -0.989817
1.979360, 3.684223, 2.685404, -0.959029
3.398654, 4.163276, 4.739888, -2.220665
3.153871, 4.119960, 4.383212, -1.992641
3.415677, 4.089278, 4.769284, -2.256961
2.719643, 3.119923, 3.805527, -1.833154
3.182760, 3.751304, 4.447588, -2.118748
2.991150, 3.645493, 4.172677, -1.959340
